"Name","Platform","Compiles","CompilesDouble","Uses","UsesDouble","PermutationString"
"/Game/VFX/WizardSpellsPack/sA_Megapack_v1/sA_StylizedAttacksPack/Materials/M_Ground_Crack.M_Ground_Crack","0","9","0","1","53","Compiling M_Ground_Crack: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithNiagaraSprites,bUsedWithNiagaraMeshParticles}"
"/Game/FXVarietyPack/Materials/M_ky_circle01_4x4G_nonD.M_ky_circle01_4x4G_nonD","0","12","0","1","79","Compiling M_ky_circle01_4x4G_nonD: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithParticleSprites,bUsedWithMeshParticles}, StaticMask'selectCh2-1'=G"
"/Game/FXVarietyPack/Materials/M_ky_base.M_ky_base","0","12","0","1","80","Compiling M_ky_base: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithParticleSprites,bUsedWithMeshParticles}, StaticSwitch'useBaseTexColor2-1'=True"
"/Game/FXVarietyPack/Materials/M_ky_base.M_ky_base","0","12","0","1","82","Compiling M_ky_base: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Additive, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithParticleSprites,bUsedWithMeshParticles}, StaticSwitch'useBaseTexColor2-1'=True"
"/Game/Blueprints/AI/ParagonSparrow/FX/Materials/Heroes/Sparrow/Abilities/M_ArrowFlare.M_ArrowFlare","0","9","0","1","45","Compiling M_ArrowFlare: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Additive, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithParticleSprites}, StaticSwitch'Luminance from Linear2-1'=False"
"/Game/Blueprints/AI/ParagonSparrow/FX/Materials/Sparks/M_Spark_VelocityLerp.M_Spark_VelocityLerp","0","32","0","2","511","Compiling M_Spark_VelocityLerp: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=1, Usage={bUsedWithParticleSprites,bUsedWithNiagaraSprites}"
"/Game/VFX/WizardSpellsPack/sA_Megapack_v1/sA_ShootingVfxPack/Materials/M_Smoke.M_Smoke","0","6","0","1","24","Compiling M_Smoke: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithNiagaraSprites}"
"/Game/FXVarietyPack/Materials/M_ky_flare_flash.M_ky_flare_flash","0","12","0","1","46","Compiling M_ky_flare_flash: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Additive, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithParticleSprites,bUsedWithBeamTrails}"
"/Game/FXVarietyPack/Materials/M_ky_flare_flash.M_ky_flare_flash","0","12","0","1","33","Compiling M_ky_flare_flash: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithParticleSprites,bUsedWithBeamTrails}"
"/Game/FXVarietyPack/Materials/M_ky_Fresnel.M_ky_Fresnel","0","20","0","1","195","Compiling M_ky_Fresnel: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Additive, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithParticleSprites,bUsedWithMeshParticles}"
"/Game/Blueprints/AI/ParagonSparrow/FX/Materials/Heroes/Sparrow/Abilities/M_Sparrow_Primary_Shockwave.M_Sparrow_Primary_Shockwave","0","20","0","1","179","Compiling M_Sparrow_Primary_Shockwave: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Additive, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithParticleSprites,bUsedWithMeshParticles}, StaticSwitch'Luminance from Linear2-1'=False"
